Название гостиницы;Район;Ближайшая станция метро;Адрес;Категория гостиницы;Инвестор;Оператор (бренд);Количество номеров;Дата ввода в эксплуатацию;Максимальная стоимость;Телефон;Услуги;Услуги в номере;Сайт;Электронный адрес;Кадастровый номер;Количество мест;Примечание;Источник данных;Муниципальное образование
"Лия";"Пушкинский";"Купчино";"196600, Санкт-Петербург, город Пушкин, шоссе Подбельского, дом 3, литера АБ";"Мини-гостиница";"Лия";"Лия";"15";"1993";"";"4766809";"рестораны, автостоянка, заказ такси, камера хранения багажа, заказ авиа и ж/д билетов, организация туров и экскурсий, прачечная химчистка, бронирование и заказ билетов в театры на концерты";"рабочий стол, туалет, ванная комната, телевизор,круглосуточное обслуживание в номере";"http://www.liya.spb.ru";"нет";"18320А:0:8";"39";"";"Комитет по инвестициям";"город Пушкин"
"Фламинго";"Колпинский";"Рыбацкое";"196643, Санкт-Петербург, поселок Понтонный, Клубная улица, дом 5, литера А";"Мини-гостиница";"Маркетинг Строй Сервис";"Маркетинг Строй Сервис";"14";"2008";"1 700";"4622812";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов";"телевизор, спутниковое ТВ, фен, душ, туалет";"http://www.flamingohotel.narod.ru";"mailto: flamingohotel@yandex.ru";"17524:2:2";"26";"";"Комитет по инвестициям";"поселок Понтонный"
"Берег";"Колпинский";"Рыбацкое";"Санкт-Петербург, город Колпино, улица Анисимова, дом 5, корпус 2, литера А";"Мини-гостиница";"Берег";"Берег";"8";"2007";"3 000";"4675198";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов";"телевизор, спутниковое ТВ, фен, душ, туалет";"http://www.otel-bereg.spb.ru/";"mailto: otel_bereg@mail.ru";"17115В:0:8";"21";"";"Комитет по инвестициям";"город Колпино"
"Дорожный учебно-инженерный центр (общежитие гостиничного типа)";"Пушкинский";"Купчино";"Санкт-Петербург, город Павловск, улица Профессора Молчанова, дом 23, литера Б";"Эконом класс";"Дорожный учебно-инженерный центр (общежитие гостиничного типа)";"";"63";"1981";"";"4651115";"аренда конференц-залов, рестораны, автостоянка, услуги бизнес центра";"телевизор, рабочий стол, туалет, ванная комната,  телефон";"http://www.duic.spb.ru/";"mailto: reec@mail.ru";"16267:2:1";"150";"";"Комитет по инвестициям";"город Павловск"
"Аква-клуб Вода (VODA)";"Курортный";"Чёрная речка";"Санкт-Петербург, город Сестрорецк, Приморское шоссе, дом 256, литера А";"3*";"Шалаш ";"";"20";"2011";"3 400";"";"водно-развлекательный клуб";"WiFi, мини-бар";"http://www.clubvoda.ru/";"mailto: info@clubvoda.ru";"11353А:20:37";"40";"";"Комитет по инвестициям";"город Сестрорецк"
"Алекс-Отель";"Приморский";"Комендантский проспект";"г.Санкт-Петербург, Богатырский проспект, дом 51, корпус 1, литера А";"Мини-гостиница";"Алекс Отель";"сеть мини-отелей "Алекс Отель»";"13";"2010";"4 300";"7089091";"заказ такси, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"кондиционер, телевизор, телефон";"http://www.alexhotels.ru/";"mailto: aleks-hotel@mail.ru";"4152:3007:28";"26";"";"Комитет по инвестициям";"муниципальный округ №65"
"База отдыха";"Петроградский";"Крестовский Остров";"г.Санкт-Петербург, набережная реки Крестовки, дом 7-11, литера А";"База отдыха";"Центр Управления недвижимостью";"";"6";"2010";"Используются под гос. нужды";"";"Используются под гос. нужды";"используются под гос. нужды";"нет";"нет";"3236:07:48";"7";"";"Комитет по инвестициям";"муниципальный округ №63"
"Парк отель "Гермес"";"Петроградский";"Крестовский остров";"197110, г.Санкт-Петербург, набережная Мартынова, дом 36, литера А";"4*";"Гермес";"";"11";"2011";"";"4987444";"континентальный завтрак, кафе, аренда конференц-зала, автостоянка, Wi-Fi, индивидуальные сейфы";"телефон, телевизор, мини-бар, индивидуальный сейф, беспроводной доступ в интернет, система кондиционирования";"http://www.hermeshotel.ru/";"mailto: hermeshotel@yandex.ru";"3287:12:39";"22";"";"Комитет по инвестициям";"муниципальный округ №63"
"Crowne Plaza Hotel St. Petersburg - Ligovsky";"Центральный";"Площадь Восстания/Маяковская";"г.Санкт-Петербург, Лиговский проспект, дом 61, литера В";"4*";"Десна Девелопмент";"IHG (Crowne Plaza)";"195";"2011";"25 000";"2440001";"рестораны, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, бронирование и заказ билетов в театры, на концерты";"сейф, кондиционер, радио, телефон, телевизор, видео, интернет Wi-Fi, фен, халат, тапочки, банные принадлежности, круглосуточное обслуживание в номере, душ, ванна, туалет, ванная комната";"http://www.ichotelsgroup.com/h/d/cp/1/en/hotel/LEDLY/at-a-glance?start=1";"mailto: info.ledly@ihg.com";"1046:17:25";"390";"";"Комитет по инвестициям";"муниципальное образование Владимирский округ"
"Allegro";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"190031, г.Санкт-Петербург, Московский проспект, дом 4, литера А";"Мини-гостиница";"Sonata Hotels";"Sonata Hotels";"19";"2010";"";"3101302";"бронирование и доставка ж/д и авиабилетов, бронирование столиков в ресторанах, визовая поддержка, вызов такси, заказ билетов в театры, концертные залы, камера хранения, организация экскурсий, офис-сервис, парковка, трансфер, услуги гидов и переводчи";"кондиционер, интернет Wi-Fi";"http://www.allegro-hotel.ru";"mailto: allegro-hotel@mail.ru";"1059:01:07";"38";"";"Комитет по инвестициям";"муниципальное образование Сенной округ"
"Allegro";"Центральный";"Площадь Восстания/Маяковская";"191040, г.Санкт-Петербург, Лиговский проспект, дом 65, литера А";"Мини-гостиница";"Sonata Hotels";"Sonata Hotels";"16";"2011";"";"5721777";"бронирование и доставка ж/д и авиабилетов, бронирование столиков в ресторанах, визовая поддержка, вызов такси, заказ билетов в театры, концертные залы, камера хранения, организация экскурсий, офис-сервис, парковка, трансфер, услуги гидов и переводчи";"утюг, гладильная доска, интернет Wi-Fi";"http://www.allegro-hotel.ru";"mailto: allegro-hotel@mail.ru";"1046:02:02";"32";"";"Комитет по инвестициям";"муниципальное образование Владимирский округ"
"Астон Отель";"Центральный";"Владимирская/Достоевская";"191025, г.Санкт-Петербург, Владимирский проспект, дом 5, литера А";"4*";"Металлоинвест-Маркет";"";"40";"2010";"4 800";"6050555";"ресторан, парковка";"телевизор, сейф, мини-бар, телефон, интернет Wi-Fi, кондиционер, халат и тапочки, фен";"http://www.astonhotel.ru";"mailto: info@astonhotel.ru";"1224:06:37";"80";"";"Комитет по инвестициям";"муниципальное образование Владимирский округ"
"Австрийский Дворик 2";"Центральный";"Чернышевская";"191028, г.Санкт-Петербург, Фурштатская улица, дом 16, литера А";"Мини-гостиница";"ИП Холодова И.Ю.";"Austrian Yard";"14";"2009";"";"";"Wi-Fi, автостоянка, вызов такси, сейф, трансфер, возможность проживания с животными, визовая поддержка, заказ экскурсий, камера хранения";"вентилятор, интернет, континентальный завтрак";"http://www.austrianyard.com/";"mailto: booking2@austrianyard.com";"1198:0:64";"28";"";"Комитет по инвестициям";"муниципальное образование Литейный округ"
"Hostel Life";"Центральный";"Площадь Восстания/Маяковская";"г.Санкт-Петербург, Владимирский проспект, дом 1/47, литера Б";"Хостел";"Хостел лайф";"";"15";"2010";"";"3181808";"сейфинг, офисный сервис, телефон, киоск, заказ экскурсий, трансфер, вызов такси, прокат зонтиков, велосипедов и автомобиля, визовая поддержка";"телевизор, Wi-Fi, фен, утюг";"http://www.hostel-life.ru";"mailto: info@hostel-life.ru";"1224:14:41";"68";"";"Комитет по инвестициям";"муниципальное образование Владимирский округ"
"Парк-отель "Потемкин"";"Пушкинский";"Купчино";"Санкт-Петербург, город Пушкин, Красносельское шоссе, дом 85, литера А";"4*";"Парк-отель "ПОТЕМКИН"";"";"116";"2007";"3 600";"3335243";"аренда конференц-залов, аренда автомобилей, визовая поддержка, рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, сувенирные магазины, камера хранения багажа, заказ авиа и ж/д билетов, организация туров и экскурсий, услуги бизнес центра, пра";"сейф, кондиционер, радио, телефон, голосовая почта, мини-бар, телевизор, фен, круглосуточное обслуживание в номере, размещение домашних животных, рабочий стол, туалет, ванная комната, спутниковое тв, интернет WiFi, халат тапочки банные принадлежности, зво";"http://www.potemkin-hotel.ru/";"mailto: reservation@potemkin-hotel.ru";"18521Б:3:16";"162";"";"Комитет по инвестициям";"город Пушкин"
